Date,Team,Opponent,Pitcher,Opponent Pitcher,ERA (Last 3 Starts),WHIP (Last 3 Starts),Team OPS (L7),Opp OPS (L7),Lean Call
2025-05-07,CHC,SF,Ben Brown,Robbie Ray,4.8,1.6,0.762,0.584,Fade ML (Strong)
2025-05-07,SEA,ATH,Bryan Woo,Gunnar Hoglund,2.84,0.95,0.868,0.7,Lean ML (Moderate)
2025-05-07,NYM,AZ,Kodai Senga,Merrill Kelly,1.06,1.0,0.814,0.704,Lean ML (Moderate)
2025-05-07,LAD,MIA,Landon Knack,Valente Bellozo,7.27,1.73,0.977,0.635,Fade ML (Strong)
2025-05-07,NYY,SD,Max Fried,Dylan Cease,1.56,1.21,0.888,0.6,Lean ML (Moderate)
2025-05-07,DET,COL,Jackson Jobe,Chase Dollander,3.0,1.13,0.792,0.633,Lean ML (Normal)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Fade ML (Normal)
2025-05-08,DET,COL,Casey Mize,Tanner Gordon,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Kyle Freeland,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,DET,COL,Keider Montero,Tanner Gordon,5.93,1.76,0.805,0.633,Fade ML (Strong)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean RL (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean ML (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
2025-05-08,DET,COL,Casey Mize,Kyle Freeland,2.6,1.04,0.805,0.633,Lean ML (Moderate)
2025-05-08,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,1.69,1.06,0.925,0.712,Lean ML (Moderate)
